ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,meta:_source_product_id,meta:_source_url,meta:_source_image_urls,meta:_s3_media_paths
,simple,6535167915,Princess Cut 1.33 CARAT D COLOR IF Clarity Lab Grown Diamond,,,,,Buy 1.33 Carat Princess gray IF Ideal Diamond. GIA Certified. SKU: 6535167915. Price: $630.00. In Stock.,,,1,,,1,,,,,,,2171,2895,,white-diamond,,,,,,,,,,,,2297266,https://www.loosegrowndiamond.com/diamond/6535167915/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/princess.png,products/2308537/princess-7cc996821bc8.png
,simple,735527992,Cushion Cut 5.51 CARAT E COLOR VVS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,6136,8181,,white-diamond,,,,,,,,,,,,2297267,https://www.loosegrowndiamond.com/product/cushion-cut-5-51-carat-e-color-vvs1-clarity-lab-grown-diamond-735527992/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/cushion.png,products/2316559/cushion-1f305250daae.png
,simple,766665305,Oval Cut 10.00 CARAT F COLOR VS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,3761,5015,,white-diamond,,,,,,,,,,,,2297403,https://www.loosegrowndiamond.com/product/oval-cut-10-00-carat-f-color-vs1-clarity-lab-grown-diamond-766665305/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,727518510,Oval Cut 4.03 CARAT D COLOR VS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1393,1857,,white-diamond,,,,,,,,,,,,2297408,https://www.loosegrowndiamond.com/product/oval-cut-4-03-carat-d-color-vs2-clarity-lab-grown-diamond-727518510/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,715598275,Round Cut 0.55 CARAT D COLOR IF Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,279,372,,white-diamond,,,,,,,,,,,,2297541,https://www.loosegrowndiamond.com/product/round-cut-0-55-carat-d-color-if-clarity-lab-grown-diamond-715598275/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,782601630,Pear Cut 2.55 CARAT E COLOR VS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,802,1069,,white-diamond,,,,,,,,,,,,2297542,https://www.loosegrowndiamond.com/product/pear-cut-2-55-carat-e-color-vs1-clarity-lab-grown-diamond-782601630/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/pear.png,products/2312051/pear-faeb574d4b0d.png
,simple,756514718,Oval Cut 2.49 CARAT E COLOR VS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,971,1295,,white-diamond,,,,,,,,,,,,2297661,https://www.loosegrowndiamond.com/product/oval-cut-2-49-carat-e-color-vs1-clarity-lab-grown-diamond-756514718/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,774632864,Radiant Cut 4.03 CARAT E COLOR VS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1266,1688,,white-diamond,,,,,,,,,,,,2297662,https://www.loosegrowndiamond.com/product/radiant-cut-4-03-carat-e-color-vs1-clarity-lab-grown-diamond-774632864/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/radiant.png,products/2316973/radiant-bbe6f8deda10.png
,simple,761569323,Oval Cut 1.60 CARAT G COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,482,643,,white-diamond,,,,,,,,,,,,2297780,https://www.loosegrowndiamond.com/product/oval-cut-1-60-carat-g-color-vvs2-clarity-lab-grown-diamond-761569323/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,750569394,Radiant Cut 2.54 CARAT D COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1060,1413,,white-diamond,,,,,,,,,,,,2297781,https://www.loosegrowndiamond.com/product/radiant-cut-2-54-carat-d-color-vvs2-clarity-lab-grown-diamond-750569394/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/radiant.png,products/2316973/radiant-bbe6f8deda10.png
,simple,762552906,Emerald Cut 4.76 CARAT D COLOR VVS2 Clarity Lab Grown Diamond,,,,,Buy 4.76 Carat Emerald gray VVS2 Ideal Diamond. IGI Certified. SKU: 762552906. Price: $877.00. In Stock.,,,1,,,1,,,,,,,3209,4279,,white-diamond,,,,,,,,,,,,2297928,https://www.loosegrowndiamond.com/diamond/762552906/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/emerald.png,products/2315081/emerald-392697f0e8d7.png
,simple,792668209,Emerald Cut 4.75 CARAT E COLOR VVS2 Clarity Lab Grown Diamond,,,,,Buy 4.75 Carat Emerald black VVS2 Ideal Diamond. IGI Certified. SKU: 792668209. Price: $607.00. In Stock.,,,1,,,1,,,,,,,2318,3091,,white-diamond,,,,,,,,,,,,2297929,https://www.loosegrowndiamond.com/diamond/792668209/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/emerald.png,products/2315081/emerald-392697f0e8d7.png
,simple,729511078,Marquise Cut 2.99 CARAT E COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1418,1891,,white-diamond,,,,,,,,,,,,2298047,https://www.loosegrowndiamond.com/product/marquise-cut-2-99-carat-e-color-vvs2-clarity-lab-grown-diamond-729511078/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/marquise.png,products/2316851/marquise-58d8d8a5cdc4.png
,simple,792613190,Oval Cut 3.56 CARAT F COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1677,2236,,white-diamond,,,,,,,,,,,,2298048,https://www.loosegrowndiamond.com/product/oval-cut-3-56-carat-f-color-vvs2-clarity-lab-grown-diamond-792613190/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,729535414,Pear Cut 2.91 CARAT E COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1148,1531,,white-diamond,,,,,,,,,,,,2298167,https://www.loosegrowndiamond.com/product/pear-cut-2-91-carat-e-color-vvs2-clarity-lab-grown-diamond-729535414/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/pear.png,products/2312051/pear-faeb574d4b0d.png
